79|Acheron Seeker|9|9/-/7|-wdddw--|346/208/43/22/62/54/44|93/255/264/163|2630|500|Mysterious Eye|-|-
33|Adamant Beetle|4|2/-/7,8|r-------|140/116/32/17/10/22/21|30/260/255|550|250|Safety Angle|Fluorite|-
66|Agitating Hablerie|1|6/-/1,2|-wnd----|238/280/46/52/25/43/37|285/153|2670|360|Diamond Canine|Sphalerite|-
40|Almighty Hand|1|3/-/5,6|s-w-----|284/238/28/28/32/32/20|55/211/280/99/185/177|900|280|Electric Rock|Milky Quartz|-
39|Amenti Raven|9|3/-/2,3|---wd---|155/117/18/28/18/30/24|199/21/92|760|270|Devilish Feather|Lemon Quartz|-
69|Amorous Snake|6|7/-/1,2,6|--wssrw-|268/183/48/26/48/45/39|194/34/128/195|3760|370|Scaly Lump|Angelite|-
62|Angry Table|1|5/-/5,6|r---w---|345/270/38/18/42/40/41|25/29/274/227|2310|270|Divine Bark|Sphalerite|-
41|Anguish Basalt|6|3/-/5,6|s-swsww-|122/19/35/18/31/11/23|6/284/48|600|280|Anguish Stone|Olive Stone|-
59|Apostate Tower|5|5/-/3,4|---dw-w-|286/327/25/36/40/42/35|153/285/88/119/67/283|2150|270|Sacrilege Iron|Meteorite|-
35|Arcane Turret|7|2/-/9,10|--------|546/264/28/28/23/24/16|39/162|2000|260|Sheet Metal|Lepidolite|-
44|Ardent Dancer|6|3/-/7,8|-w--s---|163/231/21/32/16/31/32|96/22/263|950|290|Blade Metal|Milky Quartz|-
16|Autonomic Basalt|2|1/-/1,2|s---w---|161/13/25/10/8/2/4||120|190|Powered Iron|Smoky Quartz|-
42|Avarice Bambino|3|3/-/7,8|-w------|172/167/30/23/28/28/30|163/127/30|810|290|Alluring Lily|Milky Quartz|-
15|Avenger Knight|4|0/-/6,7|-w------|300/87/9/8/6/8/10|214/199/248/197/165|485|250|Bronze Reins|Fluorite|-
72|Battle Wheel|7|7/-/2,3|--ws-nw-|278/194/54/42/38/47/39|31/279/24|3940|440|Brilliant Armor|-|-
45|Beastly Gigas|11|3/-/7,8|--w-----|234/94/30/20/30/29/25|250/21/260|1100|290|Proof of Fight|Howlite|-
80|Berserk Turret|7|9/-/6|s--wd---|621/174/53/25/64/57/52|7/39/285/95/160/162|1680|500|Bull's-Eye Shot|-|-
7|Black Raven|9|0/-/3,4,5,6|-s-ws---|138/25/8/4/4/5/3|261|48|120|Black Lamp|Blue Quartz|-
38|Blind Cupid|6|3/-/2,3|---sw---|210/184/18/28/26/30/16|55/194|550|270|Chirping Wings|Lemon Quartz|-
33|Blooming Bambino|3|2/-/7,8|--d-----|260/194/19/25/3/22/21|40/131/127|500|250|Quiet Bouquet|Lemon Quartz|-
63|Blossom Nyogo|11|5/-/6,7|--wrn---|205/188/41/34/46/42/33|33/116/61|2210|280|Ayanashiki|Aurora Quartz|-
42|Blue Sigil|5|3/-/5,6|wddddnn-|339/329/17/29/29/25/25|158/267/177|940|280|Alloy Signature|Bloodstone|-
