16|Abaddon|55|8|-ns--wr|43/27/50/23/29|7-56/20-0/70-57/167-0/186-62/190-0/265-60|-1
13|Alice|72|6|-----wr|39/56/33/45/44|52-0/56-79/70-75/141-0/159-76/162-77/166-0|-1
3|Alilat|70|10|--nw---|39/48/49/39/42|23-75/78-73/104-74/130-0/139-0/217-72|-1
18|Alraune|41|9|-ss-w-n|17/35/21/29/28|72-0/73-46/102-44/139-43/157-0/179-45/190-0|-1
10|Ananta|58|0|s-dw---|43/42/45/28/23|39-61/102-62/123-63/131-0/145-59/180-64/280-0|-1
18|Andras|20|9|---nw--|14/16/13/12/12|35-22/63-2/151-0/155-0/216-23/256-0/286-24|-1
8|Angel|4|4|----ssw|4/5/2/8/5|94-0/106-5/107-9/192-0/215-8/256-6|-1
20|Anubis|59|5|-----n-|38/41/37/37/31|107-65/108-0/136-64/139-0/159-62/167-0/168-61/194-60|-1
5|Anzu|15|4|-w-sn--|9/11/10/13/9|12-0/27-20/29-0/94-0/132-17/135-19/214-18|-1
14|Apsaras|4|9|-w-----|3/5/3/5/3|38-7/53-0/154-6/192-0/208-5|-1
7|Ara Mitama|18|0|s--w---|11/11/11/11/11|21-0/35-22/59-23/208-0/245-21/261-20|-1
9|Arahabaki|73|0|rww--nn|50/55/62/37/25|12-74/23-0/181-0/223-80/267-76/275-0|-1
8|Archangel|11|5|-----nw|8/9/7/7/9|64-0/106-0/155-12/170-13/192-0/245-14/258-15|-1
20|Ardha|90|7|s-nn---|62/52/64/41/58|15-95/26-93/99-0/156-94/160-91/177-92/186-96/202-0|-1
7|Ares|25|0|s---wn-|18/15/20/15/14|45-0/51-29/63-27/92-0/199-30/209-28|-1
19|Asura|86|1|-ns-wn-|59/57/51/50/48|115-89/136-88/143-0/145-0/202-0/252-90/273-92|19
7|Atavaka|72|5|n-w--n-|50/41/43/41/48|14-0/19-79/37-74/54-0/136-0/160-75/162-76|-1
10|Atropos|65|4|-w--n--|36/48/36/37/45|76-69/95-0/133-68/162-67/281-70/282-0|-1
12|Attis|82|1|-n--r-w|51/56/56/50/40|7-0/14-0/71-84/141-88/143-87/145-0/242-86|12
18|Baal Zebul|77|2|-wd---n|48/60/49/40/41|130-0/141-0/152-79/166-80/190-0/255-82/264-78|-1
4|Barong|65|0|---nw--|48/44/40/36/34|115-71/122-69/145-67/152-72/154-0/196-0/285-0|-1
15|Beelzebub|81|1|-dnr-wr|51/57/48/50/44|7-0/70-85/130-0/141-84/160-87/162-0/166-86/202-83|15
15|Belial|68|6|------r|51/31/48/40/41|7-69/70-71/86-72/143-73/167-0/171-0|-1
15|Belphegor|61|3|---d-wr|40/48/42/39/21|65-67/73-66/80-0/85-64/146-63/152-0/190-65|-1
