11|Absorb Elec|Absorbs damage from Elec attacks. (Overwrites Resist/Null/Repel Elec)|||||8|300000|86|0
11|Absorb Fire|Absorbs damage from Fire attacks. (Overwrites Resist/Null/Repel Fire)|||||8|300000|55|0
11|Absorb Ice|Absorbs damage from Ice attacks. (Overwrites Resist/Null/Repel Ice)|||||8|300000|64|0
11|Absorb Physical|Absorbs damage from Phys attacks. (Overwrites Resist/Null/Repel Phys)|||||8|300000|-1|0
11|Absorb Wind|Absorbs damage from Wind attacks. (Overwrites Resist/Null/Repel Wind)|||||8|300000|59|0
0|Aeon Rain|Deals medium Phys damage to all foes 1x to 3x|140|18|75|5|6|50000|158|0
1|Agi|Deals light Fire damage to 1 foe|80|1004|98||1|5000|167|0
1|Agidyne|Deals heavy Fire damage to 1 foe|320|1012|98||5|50000|90|0
1|Agilao|Deals medium Fire damage to 1 foe|200|1008|98||3|15000|80|0
0|Agneyastra|Deals heavy Phys damage to all foes 1x to 3x|240|24|75|5|7|80000|133|0
11|Ailment Boost|All status ailment attacks are 1.5 times more effective|||||6|60000|108|0
0|Akasha Arts|Deals heavy Phys damage to all foes 1x to 2x|260|18|80|5|7|80000|93|0
11|Alertness|Lowers odds of being taken by surprise. (Decreases enemy advantage)|||||2|10000|131|0
11|Ali Dance|The Hit rate of an attacking unit is reduced by half|||||5|||0
9|Amrita|Cures all ailments except Down and Death (party)||1012|||4|40000|138|0
11|Angelic Grace|Doubles evasion rate against all attacks but Light/Darkness/Almighty|||||7|70000|149|0
8|Anima Freeze|Exhausts to all foes (30% chance)||1012|||3|15000|198|0
11|Apt Pupil|Increases user's Critical Rate|||||3|15000|112|0
0|Arm Chopper|Deals light Phys damage to 1 foe with a chance of Fear|90|9|90|5|2|10000|171|0
11|Arms Master|Halves HP cost for physical skills|||||7|120000|40|0
0|Arrow Rain|Deals heavy Phys damage to all foes 2x|160|18|75|5|6|60000|0|0
0|Assault Dive|Deals light Phys damage to 1 foe|200|10|90|20|3|10000|-1|0
0|Atom Smasher|Deals medium Phys damage to all foes 1x to 2x with a chance of Fear|100|16|80|5|4|40000|118|0
11|Auto-Maraku|Party begins the battle with Marakukaja. (Overwrites Auto-Rakukaja)|||||6|80000|141|0
11|Auto-Masuku|Party begins the battle with Masukukaja. (Overwrites Auto-Sukukaja)|||||6|80000|192|0
11|Auto-Mataru|Party begins the battle with Matarukaja. (Overwrites Auto-Tarukaja)|||||6|80000|101|0
11|Auto-Rakukaja|Automatic Rakukaja at the start of battle|||||3|60000|204|0
11|Auto-Sukukaja|Automatic Sukukaja at the start of battle|||||3|60000|89|0
11|Auto-Tarukaja|Automatic Tarukaja at the start of battle|||||3|60000|190|0
8|Balzac|Enrages 1 foe (40% chance). (Doubles STR, uncontrollable, auto attacks with weapon)||1005|||1|||0
0|Bash|Deals light Phys damage to 1 foe|120|6|100|20|1|||0
0|Black Spot|Deals medium Phys damage to 1 foe|260|16|80|35|4|40000|117|0
7|Black Viper|Deals massive Almighty damage to 1 foe|440|1064|98|||||0
0|Blade of Fury|Deals medium Phys damage to all foes 2x to 4x|100|18|90|5|5|50000|58|0
0|Blight|Deals heavy Phys damage to all foes with a chance of Poison|260|16|80|5|7|70000|119|0
10|Blue Wall|Add Elec resistance to 1 ally (for 3 turns)||1018|||4|20000|164|0
0|Brain Shake|Deals light Phys damage to 1 foe 1x to 3x with a chance of Exhaustion|160|12|100|5|3|15000|173|0
0|Brave Blade|Deals severe Phys damage to 1 foe|1400|20|90|20|7|80000|16|0
